Organisation,Duty Station,Level,Post Title,Closing Date,Posting Retrieved,Descriptions
UN DESA,NEW YORK,P-5,"Senior Population Affairs Officer  [Temporary] - Economic, Social and Development, Population Affairs",2023-02-17,2023-02-09,https://unjoblist.org/r/?451592
UN OCHA,GENEVA,P-4,"Humanitarian Affairs Officer  - Political, Peace and Humanitarian, Humanitarian Affairs",2023-02-18,2023-01-06,https://unjoblist.org/r/?449947
UN OCHA,GENEVA,P-3,"Programme Management Officer  - Economic, Social and Development, Programme Management",2023-02-18,2023-01-06,https://unjoblist.org/r/?449948
MONUSCO,BUNIA,P-3,"CONDUCT AND DISCIPLINE OFFICER  - Management and Administration, Administration",2023-02-18,2023-01-21,https://unjoblist.org/r/?450585
UNCHS,NAIROBI,P-3,"PUBLIC INFORMATION OFFICER (Project Post)  - Public Information and Conference Management, Public Information",2023-02-18,2023-01-21,https://unjoblist.org/r/?450598
UNOG,GENEVA,P-3,"ADMINISTRATIVE OFFICER  - Management and Administration, Administration",2023-02-18,2023-01-21,https://unjoblist.org/r/?450605
UN OCHA,JAKARTA,P-5,"Senior Humanitarian Affairs Officer/ Head of HAT  - Political, Peace and Humanitarian, Humanitarian Affairs",2023-02-18,2023-01-22,https://unjoblist.org/r/?450621
WHO,Switzerland-Geneva,P3,Technical Officer (Partnerships),2023-02-18,2023-01-27,https://unjoblist.org/r/?450958
WHO,Switzerland-Geneva,P3,Technical Officer (Capacity Building for integrated services for Noncommunicable Diseases),2023-02-18,2023-01-28,https://unjoblist.org/r/?451018
WHO,Ukraine-Dnipropetrovsk,NO-B,Technical Officer (NCD),2023-02-18,2023-02-04,https://unjoblist.org/r/?451379
UNAMI,BAGHDAD,P-4,"TRAINING OFFICER  [Temporary] - Management and Administration, Human Resources",2023-02-18,2023-02-05,https://unjoblist.org/r/?451400
UNCTAD,GENEVA,P-5,"SENIOR ECONOMIC AFFAIRS OFFICER  [Temporary] - Economic, Social and Development, Economic Affairs (and Sustainable Development)",2023-02-18,2023-02-09,https://unjoblist.org/r/?451599
UNCTAD,GENEVA,P-2,"Associate Programme Management Officer (Temporary Job Opening)  [Temporary] - Economic, Social and Development, Programme Management",2023-02-18,2023-02-12,https://unjoblist.org/r/?451754
